"","date","CSR","biovol_um3_ml"
"1",2007-04-18,"C",657453.333333333
"21",2007-04-18,"CR",22608.25
"44",2007-04-18,"S",11613.5
"64",2007-04-18,"SR",18048
"67",2007-04-18,"unknown",61592
"2",2007-04-26,"C",339310.333333333
"22",2007-04-26,"CR",13642
"45",2007-04-26,"S",1929
"65",2007-04-26,"SR",10770
"68",2007-04-26,"unknown",78385.3333333333
"3",2007-05-09,"C",404688.666666667
"23",2007-05-09,"CR",21873.6666666667
"46",2007-05-09,"S",5758.33333333333
"69",2007-05-09,"unknown",194880.5
"4",2007-05-21,"C",399176.666666667
"24",2007-05-21,"CR",9365.25
"47",2007-05-21,"S",10801
"66",2007-05-21,"SR",3582
"70",2007-05-21,"unknown",85376.5
"5",2007-05-30,"C",234362
"25",2007-05-30,"CR",25306.5
"48",2007-05-30,"S",70495.5
"71",2007-05-30,"unknown",33470
"6",2007-06-11,"C",157370.5
"26",2007-06-11,"CR",1048546.75
"49",2007-06-11,"S",108027.5
"72",2007-06-11,"unknown",237790
"7",2007-06-18,"C",239776.666666667
"27",2007-06-18,"CR",6325255.25
"50",2007-06-18,"S",714604.5
"73",2007-06-18,"unknown",103527.5
"8",2007-06-28,"C",251019.333333333
"28",2007-06-28,"CR",3937708
"51",2007-06-28,"S",1088177
"74",2007-06-28,"unknown",153250
"9",2007-07-05,"C",287227
"29",2007-07-05,"CR",3052252.33333333
"52",2007-07-05,"S",559467.666666667
"75",2007-07-05,"unknown",79844.5
"10",2007-07-16,"C",250951.666666667
"30",2007-07-16,"CR",131265.333333333
"53",2007-07-16,"S",278004.25
"76",2007-07-16,"unknown",152113
"11",2007-07-23,"C",1225925
"31",2007-07-23,"CR",97808.25
"41",2007-07-23,"R",495
"54",2007-07-23,"S",983023.666666667
"77",2007-07-23,"unknown",186524
"12",2007-07-31,"C",660629
"32",2007-07-31,"CR",224702.333333333
"42",2007-07-31,"R",137
"55",2007-07-31,"S",893271.333333333
"78",2007-07-31,"unknown",127596
"13",2007-08-09,"C",1210732
"33",2007-08-09,"CR",109198.5
"56",2007-08-09,"S",3791691.25
"79",2007-08-09,"unknown",109772
"14",2007-08-16,"C",909432.666666667
"34",2007-08-16,"CR",44300.3333333333
"57",2007-08-16,"S",2211120.25
"80",2007-08-16,"unknown",189213
"15",2007-08-27,"C",1213361
"35",2007-08-27,"CR",69754
"43",2007-08-27,"R",146
"58",2007-08-27,"S",3774948.5
"81",2007-08-27,"unknown",1304819.5
"16",2007-09-05,"C",123448.5
"36",2007-09-05,"CR",108058.666666667
"59",2007-09-05,"S",1348782.5
"82",2007-09-05,"unknown",116657
"17",2007-09-12,"C",250696.666666667
"37",2007-09-12,"CR",50012.5
"60",2007-09-12,"S",3936250.75
"83",2007-09-12,"unknown",57043
"18",2007-09-24,"C",1499302.33333333
"38",2007-09-24,"CR",370594.5
"61",2007-09-24,"S",2786023.75
"84",2007-09-24,"unknown",41000
"19",2007-10-03,"C",599620
"39",2007-10-03,"CR",17646.75
"62",2007-10-03,"S",1681160.5
"85",2007-10-03,"unknown",113001
"20",2007-10-16,"C",365142.75
"40",2007-10-16,"CR",36441.3333333333
"63",2007-10-16,"S",258901.666666667
"86",2007-10-16,"unknown",68957.5
